"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"서울특별시  (1100000000)","9,289,813","9,289,813","453,265","716,175","1,232,287","1,469,771","1,355,706","1,461,205","1,316,536","850,440","374,484","58,475","1,469","4,471,801","4,471,801","232,823","364,893","574,435","733,901","669,845","717,799","625,291","382,563","152,996","16,938","317","4,818,012","4,818,012","220,442","351,282","657,852","735,870","685,861","743,406","691,245","467,877","221,488","41,537","1,152"
"서울특별시 종로구 (1111000000)","136,318","136,318","4,973","9,062","19,870","19,983","17,996","22,468","20,923","12,831","6,896","1,276","40","65,255","65,255","2,560","4,429","9,183","9,959","8,642","10,984","10,426","5,929","2,727","403","13","71,063","71,063","2,413","4,633","10,687","10,024","9,354","11,484","10,497","6,902","4,169","873","27"
"서울특별시 종로구 청운효자동(1111051500)","10,682","10,682","463","974","1,210","1,498","1,672","1,828","1,411","946","573","104","3","4,837","4,837","245","498","584","684","735","817","630","388","224","30","2","5,845","5,845","218","476","626","814","937","1,011","781","558","349","74","1"
"서울특별시 종로구 사직동(1111053000)","8,874","8,874","379","586","1,001","1,428","1,375","1,449","1,281","756","500","113","6","3,917","3,917","193","268","426","642","581","642","589","314","213","45","4","4,957","4,957","186","318","575","786","794","807","692","442","287","68","2"
"서울특별시 종로구 삼청동(1111054000)","2,048","2,048","63","141","200","267","289","304","352","252","145","35","0","966","966","30","72","109","126","137","148","160","117","58","9","0","1,082","1,082","33","69","91","141","152","156","192","135","87","26","0"
"서울특별시 종로구 부암동(1111055000)","8,868","8,868","324","725","1,029","1,155","1,311","1,567","1,369","829","458","96","5","4,141","4,141","175","396","505","569","578","708","633","359","186","31","1","4,727","4,727","149","329","524","586","733","859","736","470","272","65","4"
"서울특별시 종로구 평창동(1111056000)","16,938","16,938","838","1,509","1,720","1,952","2,376","2,956","2,861","1,598","885","235","8","7,800","7,800","436","772","816","915","1,065","1,306","1,331","750","332","76","1","9,138","9,138","402","737","904","1,037","1,311","1,650","1,530","848","553","159","7"
"서울특별시 종로구 무악동(1111057000)","7,694","7,694","479","860","751","807","1,204","1,372","1,105","675","378","63","0","3,535","3,535","237","358","340","359","571","699","512","292","143","24","0","4,159","4,159","242","502","411","448","633","673","593","383","235","39","0"
"서울특별시 종로구 교남동(1111058000)","9,473","9,473","623","718","1,025","1,432","1,583","1,681","1,176","788","386","61","0","4,287","4,287","293","323","478","637","723","795","536","330","152","20","0","5,186","5,186","330","395","547","795","860","886","640","458","234","41","0"
"서울특별시 종로구 가회동(1111060000)","3,532","3,532","125","262","324","501","522","623","544","375","218","37","1","1,638","1,638","82","135","152","239","245","280","249","171","75","10","0","1,894","1,894","43","127","172","262","277","343","295","204","143","27","1"
