"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~4세","2026년06월_계_5~9세","2026년06월_계_10~14세","2026년06월_계_15~19세","2026년06월_계_20~24세","2026년06월_계_25~29세","2026년06월_계_30~34세","2026년06월_계_35~39세","2026년06월_계_40~44세","2026년06월_계_45~49세","2026년06월_계_50~54세","2026년06월_계_55~59세","2026년06월_계_60~64세","2026년06월_계_65~69세","2026년06월_계_70~74세","2026년06월_계_75~79세","2026년06월_계_80~84세","2026년06월_계_85~89세","2026년06월_계_90~94세","2026년06월_계_95~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~4세","2026년06월_남_5~9세","2026년06월_남_10~14세","2026년06월_남_15~19세","2026년06월_남_20~24세","2026년06월_남_25~29세","2026년06월_남_30~34세","2026년06월_남_35~39세","2026년06월_남_40~44세","2026년06월_남_45~49세","2026년06월_남_50~54세","2026년06월_남_55~59세","2026년06월_남_60~64세","2026년06월_남_65~69세","2026년06월_남_70~74세","2026년06월_남_75~79세","2026년06월_남_80~84세","2026년06월_남_85~89세","2026년06월_남_90~94세","2026년06월_남_95~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~4세","2026년06월_여_5~9세","2026년06월_여_10~14세","2026년06월_여_15~19세","2026년06월_여_20~24세","2026년06월_여_25~29세","2026년06월_여_30~34세","2026년06월_여_35~39세","2026년06월_여_40~44세","2026년06월_여_45~49세","2026년06월_여_50~54세","2026년06월_여_55~59세","2026년06월_여_60~64세","2026년06월_여_65~69세","2026년06월_여_70~74세","2026년06월_여_75~79세","2026년06월_여_80~84세","2026년06월_여_85~89세","2026년06월_여_90~94세","2026년06월_여_95~99세","2026년06월_여_100세 이상"
"서울특별시  (1100000000)","9,289,813","9,289,813","205,692","247,573","342,817","373,358","482,097","750,190","811,049","658,722","667,381","688,325","726,675","734,530","652,860","663,676","495,400","355,040","240,815","133,669","47,744","10,731","1,469","4,471,801","4,471,801","105,307","127,516","175,628","189,265","224,051","350,384","403,918","329,983","330,984","338,861","357,845","359,954","316,468","308,823","225,379","157,184","102,209","50,787","14,473","2,465","317","4,818,012","4,818,012","100,385","120,057","167,189","184,093","258,046","399,806","407,131","328,739","336,397","349,464","368,830","374,576","336,392","354,853","270,021","197,856","138,606","82,882","33,271","8,266","1,152"
"서울특별시 종로구 (1111000000)","136,318","136,318","2,207","2,766","4,051","5,011","7,907","11,963","11,366","8,617","8,792","9,204","10,545","11,923","10,703","10,220","7,482","5,349","4,228","2,668","1,026","250","40","65,255","65,255","1,151","1,409","1,969","2,460","3,508","5,675","5,721","4,238","4,291","4,351","5,100","5,884","5,413","5,013","3,603","2,326","1,685","1,042","338","65","13","71,063","71,063","1,056","1,357","2,082","2,551","4,399","6,288","5,645","4,379","4,501","4,853","5,445","6,039","5,290","5,207","3,879","3,023","2,543","1,626","688","185","27"
"서울특별시 종로구 청운효자동(1111051500)","10,682","10,682","194","269","440","534","479","731","819","679","775","897","945","883","738","673","527","419","360","213","88","16","3","4,837","4,837","97","148","216","282","245","339","377","307","340","395","430","387","326","304","227","161","138","86","26","4","2","5,845","5,845","97","121","224","252","234","392","442","372","435","502","515","496","412","369","300","258","222","127","62","12","1"
"서울특별시 종로구 사직동(1111053000)","8,874","8,874","155","224","301","285","372","629","777","651","686","689","675","774","648","633","427","329","288","212","83","30","6","3,917","3,917","79","114","139","129","146","280","363","279","290","291","294","348","306","283","190","124","126","87","35","10","4","4,957","4,957","76","110","162","156","226","349","414","372","396","398","381","426","342","350","237","205","162","125","48","20","2"
"서울특별시 종로구 삼청동(1111054000)","2,048","2,048","29","34","68","73","71","129","137","130","144","145","140","164","178","174","147","105","95","50","27","8","0","966","966","16","14","29","43","42","67","63","63","60","77","62","86","85","75","66","51","38","20","7","2","0","1,082","1,082","13","20","39","30","29","62","74","67","84","68","78","78","93","99","81","54","57","30","20","6","0"
"서울특별시 종로구 부암동(1111055000)","8,868","8,868","128","196","345","380","469","560","613","542","629","682","762","805","702","667","482","347","282","176","68","28","5","4,141","4,141","75","100","177","219","230","275","315","254","285","293","357","351","324","309","210","149","118","68","25","6","1","4,727","4,727","53","96","168","161","239","285","298","288","344","389","405","454","378","358","272","198","164","108","43","22","4"
"서울특별시 종로구 평창동(1111056000)","16,938","16,938","348","490","707","802","774","946","1,023","929","1,148","1,228","1,382","1,574","1,448","1,413","956","642","496","389","199","36","8","7,800","7,800","184","252","375","397","371","445","491","424","513","552","610","696","676","655","447","303","183","149","65","11","1","9,138","9,138","164","238","332","405","403","501","532","505","635","676","772","878","772","758","509","339","313","240","134","25","7"
"서울특별시 종로구 무악동(1111057000)","7,694","7,694","203","276","412","448","377","374","404","403","582","622","697","675","573","532","391","284","222","156","54","9","0","3,535","3,535","105","132","171","187","173","167","182","177","293","278","346","353","269","243","176","116","84","59","22","2","0","4,159","4,159","98","144","241","261","204","207","222","226","289","344","351","322","304","289","215","168","138","97","32","7","0"
"서울특별시 종로구 교남동(1111058000)","9,473","9,473","271","352","339","379","418","607","717","715","782","801","864","817","565","611","439","349","230","156","48","13","0","4,287","4,287","128","165","154","169","201","277","317","320","354","369","406","389","286","250","197","133","89","63","16","4","0","5,186","5,186","143","187","185","210","217","330","400","395","428","432","458","428","279","361","242","216","141","93","32","9","0"
"서울특별시 종로구 가회동(1111060000)","3,532","3,532","50","75","120","142","127","197","273","228","248","274","301","322","270","274","204","171","137","81","27","10","1","1,638","1,638","30","52","59","76","58","94","127","112","111","134","132","148","123","126","94","77","43","32","10","0","0","1,894","1,894","20","23","61","66","69","103","146","116","137","140","169","174","147","148","110","94","94","49","17","10","1"
